username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
doni sugiarto wijaya,1367217074,2021-03-10 13:23:55,@TrendAsia_Org @AURIGA_ID @FraksiRakyatID @bersihkan_indo @ICEL_indo @GreenpeaceID @enter_nusantara @kanopimedia... https://t.co/OUimImPfq1,0,None,5,185,0.0,0.0
You Don't Say?,189734334,2021-03-10 13:19:10,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,398,184,-0.15,0.325
andra.,1464382664,2021-03-10 13:19:02,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,308,207,-0.15,0.325
Jodi,1136562260434751489,2021-03-10 13:14:47,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,44,486,-0.15,0.325
Ge,765761609134379008,2021-03-10 13:14:10,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,378,1914,-0.15,0.325
Syubles,1308083521907388416,2021-03-10 13:12:11,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,63,386,-0.15,0.325
rizky,259151726,2021-03-10 13:12:09,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,786,707,-0.15,0.325
Fahim Moledina | Tech | Innovation | Lean | Agile,1260685878126473216,2021-03-10 13:12:09,"RT @IdTechnas: BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi during the 20...",11,None,354,247,0.0,0.0
Malac Klypse,966836141122113536,2021-03-10 13:10:07,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,17,78,0.0,0.0
kuli,917141784198750208,2021-03-10 13:09:56,"RT @HusinShihab: Ganteng mana?

RT: @jokowi 
Like: @msaid_didu https://t.co/iuIN5dBXz6",1517,None,315,317,0.0,0.0
Widas 🐊,472857347,2021-03-10 13:07:02,Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of... https://t.co/fowUTo1Pe4,16,None,49973,877,-0.3,0.4
Gojo,1357539749926367232,2021-03-10 13:06:54,"RT @IdTechnas: BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi during the 20...",11,None,8,13,0.0,0.0
Abyss Awake,1357537855350837252,2021-03-10 13:06:38,"RT @IdTechnas: BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi during the 20...",11,None,8,14,0.0,0.0
Anubhab Das,1287064755572596736,2021-03-10 13:03:40,".@johnkerry, @ScottMorrisonMP, @JonathanWNV, @jokowi, @PrakashJavdekar, @SEMARNAT_mx, @mevpr, &amp; @JapanGov -- in the... https://t.co/r0Md6yyFxZ",0,None,11,41,0.0,0.0
Morena Makhubedu 😎,442687787,2021-03-10 13:03:01,".@johnkerry, @ScottMorrisonMP, @JonathanWNV, @jokowi, @PrakashJavdekar, @SEMARNAT_mx, @mevpr, &amp; @JapanGov -- in the... https://t.co/apMvaRaqO3",0,None,159,572,0.0,0.0
🏴󠁧󠁢󠁥󠁮󠁧󠁿Tyrone🏴󠁧󠁢󠁥󠁮󠁧󠁿,1166363837240676352,2021-03-10 13:02:50,@tami32961 @kyawwin78 @donk_enby @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin... https://t.co/R01UGY7IC2,0,None,20,79,0.0,0.0
